"자치구","1월","2월","3월","4월","5월","6월","7월","8월","9월","10월","11월","12월"
강남구,2601,2667,3465,3048,3226,3163,3614,3781,3232,3093,3139,3572
강동구,1844,2074,2519,2037,1960,2004,2258,2348,2029,2084,2075,2159
강북구,1637,1731,2301,1830,1898,1711,2035,2151,1836,1750,1826,1833
강서구,2547,2680,3520,2820,2767,2693,3134,3277,2825,2906,2884,2960
관악구,2360,2334,3016,2550,2497,2388,2743,3132,2604,2576,2476,2776
광진구,1539,1487,1896,1769,1724,1660,1856,1865,1707,1641,1630,1696
구로구,1919,1961,2581,2140,2085,1992,2270,2402,2161,2124,2107,2224
금천구,1195,1317,1682,1415,1412,1411,1531,1618,1475,1302,1440,1532
노원구,2038,2223,2866,2340,2291,2136,2525,2734,2524,2297,2213,2478
도봉구,1441,1481,1895,1603,1483,1498,1651,1955,1654,1572,1534,1656
동대문구,1900,1786,2413,2052,1958,1796,2110,2176,2084,1976,1889,1963
동작구,1574,1603,2045,1827,1780,1747,1936,2258,1996,1824,1789,1928
마포구,1907,1923,2452,2233,2280,2069,2564,2680,2490,2320,2234,2313
서대문구,1516,1466,2030,1654,1639,1428,1713,1775,1618,1609,1519,1722
서초구,1829,1730,2289,2071,2137,2047,2520,2535,2041,2105,2084,2318
성동구,1310,1384,1717,1438,1516,1331,1651,1671,1568,1361,1461,1657
성북구,1838,1712,2312,1948,1841,1820,2038,2192,2015,1968,1953,2106
송파구,2439,2671,3554,2958,2840,2790,3331,3256,3107,2743,2877,3215
양천구,1626,1862,2370,1876,1798,1685,1984,2101,1830,1718,1760,1891
영등포구,2205,2229,2928,2609,2613,2438,2638,2781,2618,2338,2333,2659
용산구,1260,1160,1472,1496,1619,1486,1741,1899,1619,1826,1472,1671
은평구,2026,2092,2878,2163,2103,2118,2387,2615,2283,2279,2243,2459
종로구,1172,1195,1514,1362,1576,1477,1700,1587,1536,1560,1443,1623
중구,1327,1242,1482,1229,1376,1409,1464,1535,1424,1444,1453,1565
중랑구,1775,1823,2438,2052,2110,2022,2181,2316,2115,2003,2058,2136
