자치구,연도,환경점수,안전점수,소음점수,교통점수,스시점수
강남구,2022,13.94,17.2,24.31,20.68,76.13
강남구,2023,9.67,16.92,25.0,20.83,72.42
강남구,2024,10.53,16.73,24.36,19.49,71.11
강동구,2022,23.06,11.7,16.88,13.8,65.44
강동구,2023,15.25,12.03,15.96,14.12,57.36
강동구,2024,16.34,12.17,15.73,14.34,58.58
강북구,2022,23.26,13.06,16.65,14.51,67.48
강북구,2023,18.01,13.0,14.49,14.72,60.22
강북구,2024,19.43,12.87,15.48,15.02,62.8
강서구,2022,15.63,11.58,19.05,14.36,60.62
강서구,2023,10.66,11.62,18.89,16.58,57.75
강서구,2024,11.21,11.65,17.72,16.22,56.8
관악구,2022,21.64,13.92,15.83,15.5,66.89
관악구,2023,15.13,14.08,14.76,15.94,59.91
관악구,2024,16.83,13.94,15.03,15.47,61.27
광진구,2022,23.5,14.13,16.3,15.44,69.37
광진구,2023,15.28,14.42,14.95,15.19,59.84
광진구,2024,16.49,13.21,14.57,14.86,59.13
구로구,2022,20.4,13.16,15.58,13.3,62.44
구로구,2023,14.62,14.08,15.85,13.81,58.36
구로구,2024,15.3,14.09,14.67,13.36,57.42
금천구,2022,22.27,14.89,13.69,8.68,59.53
금천구,2023,15.82,14.14,14.57,8.72,53.25
금천구,2024,16.1,13.64,12.64,8.47,50.85
노원구,2022,19.27,12.01,13.12,14.04,58.44
노원구,2023,12.9,12.16,13.96,13.94,52.96
노원구,2024,13.62,11.85,13.84,14.03,53.34
도봉구,2022,23.04,11.38,15.08,12.05,61.55
도봉구,2023,16.5,12.09,14.48,12.06,55.13
도봉구,2024,18.54,11.75,14.42,12.05,56.76
동대문구,2022,20.74,14.29,20.51,12.57,68.11
동대문구,2023,15.43,13.02,21.42,13.02,62.89
동대문구,2024,16.66,14.47,21.77,13.11,66.01
동작구,2022,20.58,12.49,14.43,14.78,62.28
동작구,2023,15.87,12.53,13.26,14.28,55.94
동작구,2024,16.78,12.43,13.92,14.31,57.44
마포구,2022,20.76,16.16,19.28,19.18,75.38
마포구,2023,14.88,16.0,17.89,19.19,67.96
마포구,2024,14.76,16.65,19.57,19.78,70.76
서대문구,2022,22.67,12.56,16.36,13.15,64.74
서대문구,2023,19.22,13.22,17.52,14.0,63.96
서대문구,2024,17.2,12.95,19.22,13.96,63.33
서초구,2022,17.28,15.13,20.37,18.98,71.76
서초구,2023,12.91,16.09,20.21,19.04,68.25
서초구,2024,15.04,14.52,20.96,17.78,68.3
성동구,2022,17.99,12.24,19.53,15.28,65.04
성동구,2023,14.99,12.98,20.48,15.74,64.19
성동구,2024,16.85,13.9,21.43,15.44,67.62
성북구,2022,22.71,9.45,15.75,13.18,61.09
성북구,2023,15.68,10.13,17.5,13.52,56.83
성북구,2024,17.49,10.54,17.46,13.24,58.73
송파구,2022,17.12,12.5,16.63,17.84,64.09
송파구,2023,12.9,13.31,16.84,18.25,61.3
송파구,2024,13.74,13.21,16.39,18.49,61.83
양천구,2022,21.39,11.31,15.65,12.68,61.03
양천구,2023,14.47,11.53,15.52,13.03,54.55
양천구,2024,14.68,12.46,15.42,12.32,54.88
영등포구,2022,18.92,17.77,18.92,18.57,74.18
영등포구,2023,14.35,16.02,19.94,20.09,70.4
영등포구,2024,15.66,15.98,18.7,18.5,68.84
용산구,2022,20.2,18.01,18.84,18.77,75.82
용산구,2023,16.22,17.93,19.78,19.98,73.91
용산구,2024,18.31,20.59,18.75,19.8,77.45
은평구,2022,17.97,10.93,20.4,14.0,63.3
은평구,2023,12.92,11.99,20.99,13.8,59.7
은평구,2024,13.27,12.42,20.52,13.68,59.89
종로구,2022,23.23,21.07,18.95,17.86,81.11
종로구,2023,15.56,19.92,20.28,17.6,73.36
종로구,2024,16.6,20.22,20.2,17.46,74.48
중구,2022,18.32,25.0,21.03,19.14,83.49
중구,2023,13.52,25.0,16.14,19.6,74.26
중구,2024,13.93,25.0,16.47,19.03,74.43
중랑구,2022,22.08,12.9,15.2,13.54,63.72
중랑구,2023,16.5,13.55,17.25,13.62,60.92
중랑구,2024,16.24,13.59,16.38,13.74,59.95
