year,quarter,gu_name,transit_geton_getoff_total
2022,1,강남구,89654052
2022,1,강동구,32240045
2022,1,강북구,29444425
2022,1,강서구,38303531
2022,1,관악구,47463195
2022,1,광진구,34796672
2022,1,구로구,37542850
2022,1,금천구,19208720
2022,1,노원구,40217446
2022,1,도봉구,20812117
2022,1,동대문구,29995520
2022,1,동작구,41180055
2022,1,마포구,49889653
2022,1,서대문구,27681678
2022,1,서초구,55142851
2022,1,성동구,29123858
2022,1,성북구,38660992
2022,1,송파구,60836464
2022,1,양천구,25835144
2022,1,영등포구,41230519
2022,1,용산구,26641707
2022,1,은평구,38890971
2022,1,종로구,45966213
2022,1,중구,48915499
2022,1,중랑구,27497407
2022,2,강남구,105127635
2022,2,강동구,37711533
2022,2,강북구,34249771
2022,2,강서구,44534858
2022,2,관악구,54555007
2022,2,광진구,42223220
2022,2,구로구,44271513
2022,2,금천구,22201685
2022,2,노원구,47130179
2022,2,도봉구,23970242
2022,2,동대문구,35233273
2022,2,동작구,49314625
2022,2,마포구,60371829
2022,2,서대문구,33841031
2022,2,서초구,67393383
2022,2,성동구,35103953
2022,2,성북구,47202992
2022,2,송파구,74182291
2022,2,양천구,30095149
2022,2,영등포구,50040453
2022,2,용산구,34504826
2022,2,은평구,46042672
2022,2,종로구,59035136
2022,2,중구,61749321
2022,2,중랑구,31989032
2022,3,강남구,106462174
2022,3,강동구,37909465
2022,3,강북구,34109118
2022,3,강서구,44991311
2022,3,관악구,52693577
2022,3,광진구,41536775
2022,3,구로구,44546117
2022,3,금천구,22501066
2022,3,노원구,46164772
2022,3,도봉구,23877220
2022,3,동대문구,35450088
2022,3,동작구,47712103
2022,3,마포구,62066918
2022,3,서대문구,34086328
2022,3,서초구,66911126
2022,3,성동구,34603107
2022,3,성북구,46538734
2022,3,송파구,74446350
2022,3,양천구,30495537
2022,3,영등포구,50437932
2022,3,용산구,34777586
2022,3,은평구,45906250
2022,3,종로구,58235617
2022,3,중구,62643589
2022,3,중랑구,31853971
2022,4,강남구,108915294
2022,4,강동구,39468503
2022,4,강북구,35209517
2022,4,강서구,46309739
2022,4,관악구,54028994
2022,4,광진구,43532893
2022,4,구로구,46422961
2022,4,금천구,22994320
2022,4,노원구,48617712
2022,4,도봉구,24640177
2022,4,동대문구,36871292
2022,4,동작구,50461884
2022,4,마포구,65234025
2022,4,서대문구,36459661
2022,4,서초구,69118709
2022,4,성동구,36729913
2022,4,성북구,49873120
2022,4,송파구,77891274
2022,4,양천구,31249409
2022,4,영등포구,52253041
2022,4,용산구,36056327
2022,4,은평구,47280734
2022,4,종로구,63444670
2022,4,중구,69480153
2022,4,중랑구,33029209
2023,1,강남구,105187910
2023,1,강동구,37846087
2023,1,강북구,33220227
2023,1,강서구,44366776
2023,1,관악구,50728732
2023,1,광진구,41538379
2023,1,구로구,44234930
2023,1,금천구,21908482
2023,1,노원구,45850822
2023,1,도봉구,23306943
2023,1,동대문구,34908924
2023,1,동작구,47050819
2023,1,마포구,62086127
2023,1,서대문구,33955514
2023,1,서초구,65975867
2023,1,성동구,34907101
2023,1,성북구,45639200
2023,1,송파구,73530055
2023,1,양천구,29880253
2023,1,영등포구,49730110
2023,1,용산구,33356861
2023,1,은평구,44654262
2023,1,종로구,58563182
2023,1,중구,64973338
2023,1,중랑구,31430824
2023,2,강남구,108319893
2023,2,강동구,39527940
2023,2,강북구,35196764
2023,2,강서구,46476463
2023,2,관악구,53596736
2023,2,광진구,44412296
2023,2,구로구,46515271
2023,2,금천구,22818910
2023,2,노원구,49198431
2023,2,도봉구,24551826
2023,2,동대문구,37418098
2023,2,동작구,50289336
2023,2,마포구,66211205
2023,2,서대문구,37159576
2023,2,서초구,69462176
2023,2,성동구,37326795
2023,2,성북구,50367210
2023,2,송파구,78502993
2023,2,양천구,31187821
2023,2,영등포구,52554341
2023,2,용산구,37047778
2023,2,은평구,47666299
2023,2,종로구,63763166
2023,2,중구,71583457
2023,2,중랑구,33434885
2023,3,강남구,108544400
2023,3,강동구,39048299
2023,3,강북구,34225916
2023,3,강서구,45872050
2023,3,관악구,51696215
2023,3,광진구,42503284
2023,3,구로구,45533791
2023,3,금천구,22581196
2023,3,노원구,46977279
2023,3,도봉구,24083509
2023,3,동대문구,36656895
2023,3,동작구,47993020
2023,3,마포구,65337471
2023,3,서대문구,35622456
2023,3,서초구,67974386
2023,3,성동구,36305882
2023,3,성북구,47141782
2023,3,송파구,76796108
2023,3,양천구,30860413
2023,3,영등포구,51954984
2023,3,용산구,36326286
2023,3,은평구,46699008
2023,3,종로구,61119321
2023,3,중구,69839544
2023,3,중랑구,32535890
2023,4,강남구,108846635
2023,4,강동구,40045448
2023,4,강북구,34713969
2023,4,강서구,46380429
2023,4,관악구,52245689
2023,4,광진구,44326943
2023,4,구로구,45826434
2023,4,금천구,22474482
2023,4,노원구,49062592
2023,4,도봉구,24395425
2023,4,동대문구,37743163
2023,4,동작구,50174509
2023,4,마포구,67675097
2023,4,서대문구,37240626
2023,4,서초구,69617586
2023,4,성동구,38004912
2023,4,성북구,49699932
2023,4,송파구,79156063
2023,4,양천구,30975018
2023,4,영등포구,52551438
2023,4,용산구,37304593
2023,4,은평구,47485427
2023,4,종로구,65260022
2023,4,중구,74659706
2023,4,중랑구,33046153
2024,1,강남구,102331549
2024,1,강동구,37531789
2024,1,강북구,31770809
2024,1,강서구,42994810
2024,1,관악구,48066235
2024,1,광진구,40864323
2024,1,구로구,42173617
2024,1,금천구,20538794
2024,1,노원구,46783732
2024,1,도봉구,22591838
2024,1,동대문구,34567835
2024,1,동작구,45618666
2024,1,마포구,61730295
2024,1,서대문구,33337054
2024,1,서초구,64243934
2024,1,성동구,35131286
2024,1,성북구,44127766
2024,1,송파구,72404421
2024,1,양천구,28667397
2024,1,영등포구,48379000
2024,1,용산구,33146678
2024,1,은평구,43485106
2024,1,종로구,57956517
2024,1,중구,66832332
2024,1,중랑구,30348527
2024,2,강남구,110928226
2024,2,강동구,41103920
2024,2,강북구,35295585
2024,2,강서구,46914161
2024,2,관악구,53625719
2024,2,광진구,46187702
2024,2,구로구,46547162
2024,2,금천구,22247320
2024,2,노원구,52583305
2024,2,도봉구,24883889
2024,2,동대문구,38814652
2024,2,동작구,51731269
2024,2,마포구,68981157
2024,2,서대문구,38265613
2024,2,서초구,71515029
2024,2,성동구,39545639
2024,2,성북구,51105991
2024,2,송파구,81115377
2024,2,양천구,31250164
2024,2,영등포구,54148525
2024,2,용산구,38475858
2024,2,은평구,48736307
2024,2,종로구,65935700
2024,2,중구,75717170
2024,2,중랑구,33852050
2024,3,강남구,112925084
2024,3,강동구,40975599
2024,3,강북구,35207627
2024,3,강서구,47439312
2024,3,관악구,53746125
2024,3,광진구,43818311
2024,3,구로구,46869703
2024,3,금천구,22766574
2024,3,노원구,50607095
2024,3,도봉구,25011100
2024,3,동대문구,38528086
2024,3,동작구,50034765
2024,3,마포구,68680423
2024,3,서대문구,37228548
2024,3,서초구,71313352
2024,3,성동구,38670482
2024,3,성북구,48964627
2024,3,송파구,80383802
2024,3,양천구,31696986
2024,3,영등포구,54109634
2024,3,용산구,37663286
2024,3,은평구,48727315
2024,3,종로구,63318393
2024,3,중구,74290584
2024,3,중랑구,33656126
2024,4,강남구,116200303
2024,4,강동구,42654100
2024,4,강북구,36550818
2024,4,강서구,49099383
2024,4,관악구,55907278
2024,4,광진구,46401258
2024,4,구로구,48760100
2024,4,금천구,23066416
2024,4,노원구,52005298
2024,4,도봉구,25754828
2024,4,동대문구,40546020
2024,4,동작구,53993935
2024,4,마포구,72298768
2024,4,서대문구,39940192
2024,4,서초구,74590140
2024,4,성동구,41670119
2024,4,성북구,52758629
2024,4,송파구,83323330
2024,4,양천구,32482422
2024,4,영등포구,56871587
2024,4,용산구,40497228
2024,4,은평구,50284611
2024,4,종로구,69615962
2024,4,중구,80820612
2024,4,중랑구,34849308
2025,1,강남구,5079
2025,1,강동구,2453
2025,1,강북구,1236
2025,1,강서구,1997
2025,1,관악구,3196
2025,1,광진구,4888
2025,1,구로구,2602
2025,1,금천구,77
2025,1,노원구,2407
2025,1,도봉구,771
2025,1,동대문구,1302
2025,1,동작구,3550
2025,1,마포구,8619
2025,1,서대문구,1621
2025,1,서초구,2837
2025,1,성동구,3405
2025,1,성북구,2330
2025,1,송파구,8599
2025,1,양천구,714
2025,1,영등포구,2649
2025,1,용산구,2394
2025,1,은평구,2053
2025,1,종로구,10200
2025,1,중구,17723
2025,1,중랑구,1095
