gu_name,transport_score,commute_stress_score,parking_score,complaint_score,transport_score_norm,commute_stress_score_norm,parking_score_norm,complaint_score_norm,traffic_entropy_raw_0_1,traffic_score_25,rank
마포구,67.48051948051948,33.20996004874372,36.627043090638935,68.11274253471719,92.2382230900659,35.915659083348714,33.283803863298665,73.94881118543512,0.6287294337940794,15.72,1
중구,59.97402597402597,26.875147406455316,10.0,88.52519159373541,71.07639736392481,23.395521922777345,0.0,100.0,0.6165021153558559,15.41,2
용산구,42.72727272727273,21.719299908096595,55.28974739970281,84.86385881973781,22.455455211130086,13.20549397664363,56.61218424962852,95.327259794619,0.5747199956816205,14.37,3
서초구,47.76623376623377,43.90072293298419,15.468053491827632,71.19264354317653,36.660971442518914,57.0449055536096,6.83506686478454,77.87950477685871,0.5347706922851074,13.37,4
강남구,41.97402597402598,65.63470810102432,22.481426448737,57.86810204053281,20.33195020746888,100.0,15.601783060921251,60.87418877831029,0.5331071726084272,13.33,5
영등포구,66.2943722943723,36.54173976188198,57.31054977711739,41.37611343204208,88.89431291188676,42.50059558468006,59.138187221396734,39.826449336303874,0.5332542156623556,13.33,5
강서구,58.05194805194805,36.32852828566311,36.15156017830608,57.72767337258605,65.65779838906516,42.07920397024649,32.6894502228826,60.69496806191894,0.5312158728358999,13.28,7
종로구,70.23376623376623,27.077707176389747,10.0,58.58855531675256,100.0,23.79586148228746,0.0,61.79366023793804,0.5110395485040152,12.78,8
송파구,56.675324675324674,53.680201861918206,66.3447251114413,21.31627449275537,61.776909934098114,76.37308847914927,70.43090638930163,14.225275744336404,0.45901883914263525,11.48,9
관악구,54.528138528138534,29.462275019982947,75.97325408618127,25.76414114983895,55.723700268489154,28.50872643288998,82.46656760772659,19.90182213867998,0.3928835745926195,9.82,10
강동구,53.55844155844156,35.381654320528085,69.19762258543834,20.41833328545111,52.98999267756896,40.207800254511326,73.99702823179793,13.079287045565993,0.36816588028086944,9.2,11
광진구,51.887445887445885,25.956801201343982,54.9331352154532,29.08554960248153,48.2792287039297,21.580500532542413,56.16641901931649,24.14073724778376,0.3377415536784746,8.44,12
은평구,55.7922077922078,27.95258863559215,56.121842496285296,20.839619192527035,59.28728337808153,25.524979056394276,57.65230312035662,13.616949071245438,0.3251113686087535,8.13,13
동대문구,51.82683982683982,25.071708086117624,48.63298662704309,28.22438181547533,48.10837197949718,19.83120061978157,48.291233283803855,23.041680267631346,0.3158367096651741,7.9,14
서대문구,47.523809523809526,24.971395944952143,80.0148588410104,19.562894075689755,35.97754454478887,19.632943490931627,87.51857355126299,11.987541106191339,0.3102048869597732,7.76,15
강북구,61.047619047619044,18.646855910310844,71.33729569093609,13.203580914939856,74.1030021967293,7.133109133931728,76.6716196136701,3.871529773957256,0.3067841960877174,7.67,16
중랑구,50.63203463203463,22.45941806593957,90.0,12.452472005694917,44.740053697827676,14.668265075723216,100.0,2.9129343619874737,0.2994724966799558,7.49,17
양천구,36.649350649350644,23.030893425992062,90.0,22.47061783333498,5.320966560898193,15.79773019107341,100.0,15.698495162316492,0.2786013060553571,6.97,18
노원구,40.01731601731602,32.20784850231116,85.00742942050519,10.17003780664256,14.815718818647788,33.93508369461937,93.7592867756315,0.0,0.2571085228809494,6.43,19
성동구,34.761904761904766,24.348668784957752,86.90936106983652,19.280567510916047,0.0,18.40218420932383,96.13670133729565,11.62722458439515,0.24953768508549198,6.24,20
동작구,42.48484848484849,24.995593111718282,72.64487369985142,15.46607878432294,21.772028313400057,19.68076682271999,78.30609212481427,6.759020589852733,0.24435557314282144,6.11,21
도봉구,51.021645021645014,17.319945581806135,74.19019316493312,11.67278523921234,45.838418354893804,4.51060074248285,80.2377414561664,1.9178667387381505,0.24316709816813434,6.08,22
구로구,41.8008658008658,26.593026493074383,70.62407132243683,12.359338035122477,19.843788137661694,22.83793755038161,75.78008915304603,2.7940730413581956,0.22584246743780798,5.65,23
성북구,36.26839826839827,28.067953051663892,71.57503714710253,12.671210744401067,4.247010007322429,25.752985533338112,76.96879643387817,3.1920975416048716,0.20473754992474402,5.12,24
금천구,38.112554112554115,15.037717340906271,17.72659732540862,15.99527268156419,9.44593605076885,0.0,9.658246656760774,7.434399134420689,0.06672953338491631,1.67,25
