자치구,연도,강수량점수,대기점수,불쾌지수점수,쓰레기점수,이상기온점수,환경점수
강남구,2022,24.336,60.1708,46.695,33.4683,14.6766,36.2351
강남구,2023,24.4799,63.0575,50.9675,32.2517,21.6418,38.5911
강남구,2024,24.0904,57.3875,47.91,36.9933,25.2488,39.6096
강동구,2022,20.1391,62.215,48.2133,79.49,21.1443,43.801
강동구,2023,18.5731,66.525,56.5808,80.2742,27.9851,46.6592
강동구,2024,16.367,56.8517,49.5283,76.0783,32.4627,44.2736
강북구,2022,10.4801,64.6883,47.9425,93.14,18.1592,42.1653
강북구,2023,12.5815,68.6817,59.4283,94.8792,24.6269,46.8151
강북구,2024,7.8415,66.1483,42.6283,93.505,29.4776,43.546
강서구,2022,16.6351,55.4125,51.3583,26.1383,12.9353,31.9477
강서구,2023,16.8563,60.735,67.3958,35.0933,20.8955,38.5374
강서구,2024,11.3189,56.0717,48.3833,33.0467,28.2338,34.346
관악구,2022,18.5619,57.3367,43.8758,73.8517,14.3035,39.9883
관악구,2023,16.7987,59.8742,42.91,75.5308,22.7612,41.3277
관악구,2024,14.0514,54.3883,40.425,82.1625,28.1095,41.4169
광진구,2022,10.6369,61.7883,44.4492,92.3567,16.6667,40.9606
광진구,2023,10.3215,66.9858,43.1592,85.47,25.8706,42.1198
광진구,2024,6.4602,56.9325,40.0533,84.1725,30.597,40.0923
구로구,2022,16.5627,63.06,44.0942,72.4417,12.6866,39.0527
구로구,2023,17.2927,69.0567,51.2625,74.4817,21.6418,43.5788
구로구,2024,14.1223,61.1217,43.6342,72.8708,26.4925,40.8414
금천구,2022,17.5916,59.505,43.1542,78.8675,14.6766,40.3502
금천구,2023,18.0987,62.7083,41.5833,79.8225,21.7662,42.2825
금천구,2024,13.1907,57.2742,39.9842,76.6017,27.1144,40.1529
노원구,2022,19.0366,56.6158,45.44,63.4392,21.393,39.0646
노원구,2023,20.2773,63.4392,47.9608,60.9017,27.9851,42.1964
노원구,2024,15.786,56.5592,44.4375,56.7817,32.4627,39.9867
도봉구,2022,10.3053,65.8442,46.2908,96.3783,23.8806,43.4575
도봉구,2023,13.1956,66.5783,52.6292,85.3083,28.7313,44.818
도봉구,2024,9.1009,60.4467,52.1858,96.6625,33.0846,45.7302
동대문구,2022,19.3635,58.5008,44.3858,80.825,18.0348,41.6063
동대문구,2023,20.0193,61.77,44.65,82.7375,25.1244,44.927
동대문구,2024,16.3529,57.6892,42.5867,83.7367,30.3483,44.0508
동작구,2022,17.7262,56.1467,43.6983,81.3033,11.6915,39.4251
동작구,2023,18.6788,63.6925,45.0983,85.0033,19.9005,43.5557
동작구,2024,15.7775,58.4658,43.4117,84.0817,25.1244,43.0848
마포구,2022,17.1141,61.2342,44.3425,68.8442,13.1841,38.553
마포구,2023,18.3122,62.7117,45.6817,68.2017,21.1443,41.1142
마포구,2024,15.5875,56.9875,41.3517,63.7267,27.6119,39.7496
서대문구,2022,10.0777,61.4142,49.1408,81.3,16.9154,39.3032
서대문구,2023,10.0542,65.3683,68.1392,83.3725,25.3731,45.963
서대문구,2024,7.9321,55.3392,44.9225,83.3433,32.2139,40.942
서초구,2022,18.2321,62.6592,46.1958,55.4283,14.1791,37.6329
서초구,2023,19.3562,63.7167,51.5783,60.2375,22.7612,41.6175
서초구,2024,14.5465,58.58,43.8708,60.2592,27.6119,39.6134
성동구,2022,17.7205,63.2225,43.0925,57.6183,15.2985,37.7258
성동구,2023,19.0132,66.0017,44.8275,73.975,24.7512,43.877
성동구,2024,16.0185,59.4708,40.7192,80.4217,29.9751,43.6301
성북구,2022,18.3053,58.72,44.935,90.0692,17.2886,42.6757
성북구,2023,19.0463,63.6292,52.1258,87.6108,25.1244,46.5076
성북구,2024,17.4988,59.2575,40.6333,92.585,29.9751,45.7271
송파구,2022,20.4609,58.1142,46.0117,52.98,18.9055,38.5055
송파구,2023,18.4228,62.0975,47.175,58.6808,26.8657,40.8163
송파구,2024,15.7624,59.1167,43.8567,64.2083,30.8458,41.4371
양천구,2022,16.3733,57.4858,45.7892,66.8442,12.0647,37.6302
양천구,2023,18.9896,61.1442,48.4292,66.7108,21.1443,41.1577
양천구,2024,15.1747,56.5358,40.1633,61.7225,25.7463,38.3357
영등포구,2022,16.9878,58.9333,43.0567,73.1833,11.4428,38.6258
영등포구,2023,17.8578,63.6133,41.0642,74.84,20.0249,41.3348
영등포구,2024,13.7982,56.0775,39.5058,75.96,25.1244,39.9747
용산구,2022,16.7389,58.8367,43.2408,80.165,13.6816,40.0709
용산구,2023,18.6448,59.6083,41.7208,82.3425,24.3781,43.1591
용산구,2024,15.0727,55.6242,42.98,82.1992,29.4776,43.235
은평구,2022,22.3587,61.8408,46.6883,64.135,18.7811,40.8034
은평구,2023,22.9499,67.65,51.7558,67.4442,25.6219,45.3363
은평구,2024,19.5636,59.9975,48.7533,61.6383,31.2189,43.4275
종로구,2022,18.3621,57.1392,45.1417,66.8825,16.0448,38.7606
종로구,2023,19.0756,62.3258,48.355,68.9142,26.2438,42.9979
종로구,2024,15.4619,54.0833,42.9683,69.9683,31.9652,41.1964
중구,2022,19.1736,58.0625,43.7042,57.5883,12.6866,36.7636
중구,2023,18.076,61.1733,53.62,58.1642,21.0199,40.3844
중구,2024,16.0279,59.6733,40.0283,62.365,25.7463,39.3507
중랑구,2022,17.0091,61.175,44.0742,83.8133,19.7761,42.3555
중랑구,2023,19.5603,67.0767,42.5808,86.5383,27.8607,46.3754
중랑구,2024,16.4001,62.4083,42.4892,85.6367,31.7164,45.3693
