자치구,민원스트레스점수_2022,민원스트레스점수_2023,민원스트레스점수_2024,소음스트레스점수_2022,소음스트레스점수_2023,소음스트레스점수_2024,진동스트레스점수_2022,진동스트레스점수_2023,진동스트레스점수_2024,소음원점수_2022,소음원점수_2023,소음원점수_2024,소음총점수_2022,소음총점수_2023,소음총점수_2024,rank_2022,rank_2023,rank_2024,rank_change_22_23,rank_change_23_24,rank_range_3y,rank_volatility
종로구,6.09,6.98,6.52,3.36,3.2,3.52,3.96,4.16,4.73,13.41,14.34,14.77,13.97,14.94,15.39,10.0,4.0,6.0,6.0,-2.0,6.0,8.0
중구,8.0,4.44,4.25,3.03,2.13,2.34,2.63,2.96,4.37,13.66,9.53,10.96,14.23,9.93,11.42,8.0,15.0,14.0,-7.0,1.0,7.0,8.0
용산구,4.97,6.67,5.83,4.45,6.69,3.2,3.34,4.02,4.14,12.76,17.38,13.17,13.29,18.1,13.72,11.0,2.0,9.0,9.0,-7.0,9.0,16.0
성동구,3.49,4.33,4.16,6.29,8.0,6.66,3.87,4.62,5.09,13.65,16.95,15.91,14.22,17.66,16.57,9.0,3.0,3.0,6.0,0.0,6.0,6.0
광진구,2.13,1.9,1.78,4.94,3.4,2.68,4.25,4.73,4.82,11.32,10.03,9.28,11.79,10.45,9.67,14.0,13.0,21.0,1.0,-8.0,8.0,9.0
동대문구,4.05,4.57,4.55,5.48,2.68,5.56,4.3,5.49,6.05,13.83,12.74,16.16,14.41,13.27,16.83,6.0,7.0,2.0,-1.0,5.0,5.0,6.0
중랑구,2.86,3.72,1.85,1.0,1.0,1.99,4.91,6.19,7.22,8.77,10.91,11.06,9.14,11.36,11.52,23.0,11.0,13.0,12.0,-2.0,12.0,14.0
성북구,1.67,3.04,2.68,5.73,2.8,5.41,2.02,3.06,3.6,9.42,8.9,11.69,9.81,9.27,12.18,21.0,19.0,12.0,2.0,7.0,9.0,9.0
강북구,4.42,1.97,2.12,3.02,2.78,3.01,3.2,4.18,4.78,10.64,8.93,9.91,11.08,9.3,10.32,15.0,18.0,18.0,-3.0,0.0,3.0,3.0
도봉구,1.62,1.81,1.12,2.71,1.21,2.24,4.93,5.6,5.78,9.26,8.62,9.14,9.65,8.98,9.52,22.0,21.0,22.0,1.0,-1.0,1.0,2.0
노원구,1.0,1.0,1.0,2.22,1.67,1.93,4.76,5.42,5.41,7.98,8.09,8.34,8.31,8.43,8.69,24.0,22.0,24.0,2.0,-2.0,2.0,4.0
은평구,1.68,2.07,1.23,8.0,4.1,8.0,4.6,5.48,5.67,14.28,11.65,14.9,14.88,12.14,15.52,3.0,9.0,5.0,-6.0,4.0,6.0,10.0
서대문구,2.7,2.35,3.12,2.67,2.27,3.99,6.24,6.18,6.53,11.61,10.8,13.64,12.09,11.25,14.21,12.0,12.0,8.0,0.0,4.0,4.0,4.0
마포구,3.1,2.76,3.49,5.26,4.82,4.09,5.34,5.86,6.4,13.7,13.44,13.98,14.27,14.0,14.56,7.0,6.0,7.0,1.0,-1.0,1.0,2.0
양천구,1.09,1.19,1.18,5.1,2.18,4.21,3.8,4.46,4.71,9.99,7.83,10.1,10.41,8.16,10.52,17.0,24.0,17.0,-7.0,7.0,7.0,14.0
강서구,2.13,2.73,2.24,7.4,3.53,6.3,4.35,3.63,3.66,13.88,9.89,12.2,14.46,10.3,12.71,5.0,14.0,11.0,-9.0,3.0,9.0,12.0
구로구,1.37,1.52,1.25,3.34,1.67,3.1,4.84,5.87,5.12,9.55,9.06,9.47,9.95,9.44,9.86,20.0,17.0,20.0,3.0,-3.0,3.0,6.0
금천구,3.06,3.89,2.43,2.07,1.14,1.0,1.79,4.25,3.91,6.92,9.28,7.34,7.21,9.67,7.65,25.0,16.0,25.0,9.0,-9.0,9.0,18.0
영등포구,3.94,6.13,5.09,4.83,2.06,3.16,5.15,4.45,4.91,13.92,12.64,13.16,14.5,13.17,13.71,4.0,8.0,10.0,-4.0,-2.0,6.0,6.0
동작구,2.36,1.8,1.96,2.7,1.43,2.52,4.8,4.0,3.96,9.86,7.23,8.44,10.27,7.53,8.79,19.0,25.0,23.0,-6.0,2.0,6.0,8.0
관악구,2.73,1.82,1.74,3.28,1.5,2.98,3.9,4.67,4.87,9.91,7.99,9.59,10.32,8.32,9.99,18.0,23.0,19.0,-5.0,4.0,5.0,9.0
서초구,4.84,5.09,5.41,5.17,3.59,4.92,4.95,4.93,5.18,14.96,13.61,15.51,15.58,14.18,16.16,2.0,5.0,4.0,-3.0,1.0,3.0,4.0
강남구,6.89,8.0,8.0,5.73,3.9,5.8,5.82,6.18,4.93,18.44,18.08,18.73,19.21,18.83,19.51,1.0,1.0,1.0,0.0,0.0,0.0,0.0
송파구,1.99,1.78,1.73,4.78,2.33,4.38,3.59,4.55,4.72,10.36,8.66,10.83,10.79,9.02,11.28,16.0,20.0,15.0,-4.0,5.0,5.0,9.0
강동구,3.11,2.71,2.3,5.58,5.58,4.67,2.87,3.04,3.45,11.56,11.33,10.42,12.04,11.8,10.85,13.0,10.0,16.0,3.0,-6.0,6.0,9.0
