자치구,민원스트레스점수_2022,민원스트레스점수_2023,민원스트레스점수_2024,소음스트레스점수_2022,소음스트레스점수_2023,소음스트레스점수_2024,진동스트레스점수_2022,진동스트레스점수_2023,진동스트레스점수_2024
강남구,6.89,8.0,8.0,5.76,5.83,5.66,5.883333333333333,6.233333333333333,4.93
강동구,3.11,2.71,2.3,5.58,4.76,4.55,2.716666666666667,3.0500000000000003,3.4466666666666668
강북구,4.42,1.97,2.12,3.26,2.96,3.16,3.5,4.183333333333334,4.783333333333333
강서구,2.13,2.73,2.24,7.48,7.29,6.31,3.8766666666666665,3.3166666666666664,3.66
관악구,2.73,1.82,1.74,3.39,3.0,3.02,4.276666666666666,4.546666666666667,4.866666666666666
광진구,2.13,1.9,1.78,4.82,3.24,2.58,3.893333333333333,4.413333333333333,4.823333333333333
구로구,1.37,1.52,1.25,3.25,2.94,2.92,5.536666666666666,5.953333333333333,5.116666666666667
금천구,3.06,3.89,2.43,2.23,1.0,1.0,3.0566666666666666,4.3,3.9066666666666667
노원구,1.0,1.0,1.0,2.35,2.03,2.07,4.446666666666666,5.57,5.413333333333334
도봉구,1.62,1.81,1.12,2.74,1.68,2.14,5.32,5.609999999999999,5.783333333333334
동대문구,4.05,4.57,4.55,5.46,5.52,5.5,5.38,5.676666666666667,6.046666666666667
동작구,2.36,1.8,1.96,2.89,2.71,2.65,3.8066666666666666,3.4166666666666665,3.956666666666667
마포구,3.1,2.76,3.49,5.15,3.83,4.09,5.46,5.78,6.403333333333333
서대문구,2.7,2.35,3.12,2.78,3.64,4.0,5.426666666666667,6.03,6.53
서초구,4.84,5.09,5.41,5.02,4.81,4.73,4.8999999999999995,4.703333333333333,5.180000000000001
성동구,3.49,4.33,4.16,6.21,6.0,6.53,4.246666666666666,4.53,5.086666666666667
성북구,1.67,3.04,2.68,5.92,5.75,5.68,2.7266666666666666,3.2133333333333334,3.6
송파구,1.99,1.78,1.73,4.88,4.81,4.48,4.29,4.773333333333333,4.72
양천구,1.09,1.19,1.18,5.06,4.34,4.11,4.073333333333333,4.573333333333333,4.71
영등포구,3.94,6.13,5.09,4.73,3.38,3.16,4.69,4.833333333333333,4.906666666666667
용산구,4.97,6.67,5.83,4.67,3.62,3.23,3.65,3.8966666666666665,4.14
은평구,1.68,2.07,1.23,8.0,8.0,8.0,5.1000000000000005,5.276666666666666,5.673333333333333
종로구,6.09,6.98,6.52,3.36,3.4,3.34,3.9433333333333334,4.29,4.733333333333333
중구,8.0,4.44,4.25,3.19,2.83,2.39,4.2,3.426666666666667,4.37
중랑구,2.86,3.72,1.85,1.0,1.42,1.85,5.933333333333334,6.62,7.223333333333333
